symbol,priceToBook,Potantial,Under_Median,How Close targetLowPrice,currentPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,targetLowPrice,change,fiftyTwoWeekHigh,fiftyTwoWeekLow
VAKBN.IS,1.0607792,60.18609206660136,-7.0791819611956015,29.72575905974535,20.42,31.36,18.6,19.07,13.0,-3.860640301318252,22.38,8.28
QUAGR.IS,2.4712992,,,,4.09,,,,,-3.08056872037914,8.713636,3.81
ENKAI.IS,0.9840968,16.906077348066308,19.069975408003565,11.54696132596685,36.2,50.85,43.44,44.73,40.55,-2.949061662198371,41.44,23.1
AKFYE.IS,6.0542884,,,,27.88,,,,,-2.5174825174825277,33.46,9.37
ULKER.IS,2.3999836,32.465753424657535,-0.6202618883528591,58.458904109589035,116.8,154.0,119.74,116.08,47.8,-2.259414225941425,121.9,29.9
MIATK.IS,14.640652,,,,52.15,,,,,-2.2492970946579205,84.4,6.911538
KONTR.IS,21.867247,,,,211.5,,,,,-2.1286441462285977,351.0,105.8
MAVI.IS,5.889022,23.31550802139037,-11.708482676224607,24.278074866310163,93.5,105.5,85.0,83.7,61.0,-2.0942408376963373,99.6,24.12
ASELS.IS,3.1780436,29.285127362366474,-10.83788706739527,22.843056696795397,60.85,72.72,55.73,54.9,41.0,-2.091713596138367,67.3,19.9
CCOLA.IS,4.694197,29.786206896551732,4.4858704960147495,40.655172413793096,725.0,975.0,798.0,759.05,464.3,-2.0270270270270285,754.0,219.3
BIENY.IS,2.589087,,,,40.76,,,,,-1.8777082330284078,75.6,37.02
MGROS.IS,2.3432946,35.62037533512065,7.768238645355274,22.846112600536188,466.25,671.6,483.0,505.52,399.0,-1.8421052631578894,509.5,161.5
AKSEN.IS,2.0399811,18.56995884773662,28.947368421052627,18.56995884773662,38.88,61.94,54.72,54.72,47.5,-1.7685699848408176,43.48,27.22
ODAS.IS,1.6690989,,,,9.15,,,,,-1.7185821697099923,14.47,4.84
GENIL.IS,3.4668818,,,,55.9,,,,,-1.6710642040457357,84.5,35.94
HALKB.IS,0.8345661,47.188264058679714,-10.020174848688637,60.33007334963325,16.36,22.59,14.55,14.87,5.0,-1.6235718580877911,18.22,10.95
KOZAL.IS,4.7987266,35.545023696682456,13.877551020408157,30.805687203791464,21.1,32.0,24.0,24.5,18.0,-1.585820895522383,33.92,17.3
ISMEN.IS,3.3223777,,,,35.38,,,,,-1.4484679665738076,45.8,10.673666
THYAO.IS,0.93630135,37.199033037872674,17.403226665246795,32.75423045930701,310.25,491.03,392.0,375.62,274.0,-1.429706115965057,332.0,125.6
AKCNS.IS,2.0799222,21.77451634422948,29.27910926589923,37.57171447631756,149.9,244.6,223.8,211.96,155.64,-1.3815789473684226,199.9,63.4
KMPUR.IS,5.138677,,,,57.25,,,,,-1.2079378774805916,98.55,34.6
IZMDC.IS,3.0008786,,,,6.83,,,,,-1.0144927536231974,9.64,4.38
ZOREN.IS,0.77213544,0.0,-41.866028708133975,0.0,5.93,4.18,4.18,4.18,4.18,1.0221465076660996,7.57,2.63386
