symbol,priceToBook,Potantial,Under_Median,How Close targetLowPrice,currentPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,targetLowPrice,change,fiftyTwoWeekHigh,fiftyTwoWeekLow
KRDMD.IS,30.786774,23.444444444444436,27.594529364440866,20.703703703703702,27.0,43.62,36.3,37.29,31.7,-0.2954209748892156,33.14,15.3
OTKAR.IS,7.8331623,5.961254612546137,25.987628190247293,5.961254612546115,542.0,764.62,732.31,732.31,700.0,4.835589941972929,569.0,148.0
MAVI.IS,5.889022,23.31550802139037,-11.708482676224607,24.278074866310163,93.5,105.5,85.0,83.7,61.0,-2.0942408376963373,99.6,24.12
FROTO.IS,5.700498,20.725126475548056,3.5144809632281193,27.430860033726816,1186.0,1475.0,1311.5,1229.2,903.87,2.6839826839826886,1219.0,510.9
KCAER.IS,5.358473,1.1120764552562998,-54.041755888650954,1.1294526498696762,57.55,38.0,37.36,37.36,36.71,2.039007092198575,69.15,13.01
KMPUR.IS,5.138677,,,,57.25,,,,,-1.2079378774805916,98.55,34.6
CCOLA.IS,4.694197,29.786206896551732,4.4858704960147495,40.655172413793096,725.0,975.0,798.0,759.05,464.3,-2.0270270270270285,754.0,219.3
BIMAS.IS,3.9368548,28.860120680197483,-6.121641130722307,27.791552386176626,455.75,560.99,431.5,429.46,302.8,6.60818713450293,461.5,132.2
TOASO.IS,3.6978538,34.28414298808432,23.533039894586334,28.32997250229147,272.75,450.2,350.5,356.69,279.42,-0.36529680365297024,316.6,177.2
ASELS.IS,3.1780436,29.285127362366474,-10.83788706739527,22.843056696795397,60.85,72.72,55.73,54.9,41.0,-2.091713596138367,67.3,19.9
ULKER.IS,2.3999836,32.465753424657535,-0.6202618883528591,58.458904109589035,116.8,154.0,119.74,116.08,47.8,-2.259414225941425,121.9,29.9
AKSA.IS,2.362159,2.4979524979525074,11.7710817255582,2.4979524979524843,122.1,141.44,138.39,138.39,135.34,2.2613065326632986,126.4,57.7
MGROS.IS,2.3432946,35.62037533512065,7.768238645355274,22.846112600536188,466.25,671.6,483.0,505.52,399.0,-1.8421052631578894,509.5,161.5
GWIND.IS,2.179054,0.0,37.74950647071727,0.0,28.38,45.59,45.59,45.59,45.59,0.424628450106157,38.72,13.666894
AKCNS.IS,2.0799222,21.77451634422948,29.27910926589923,37.57171447631756,149.9,244.6,223.8,211.96,155.64,-1.3815789473684226,199.9,63.4
AKSEN.IS,2.0399811,18.56995884773662,28.947368421052627,18.56995884773662,38.88,61.94,54.72,54.72,47.5,-1.7685699848408176,43.48,27.22
ARCLK.IS,1.9093668,17.55387931034482,5.710221499695189,14.461206896551726,185.6,229.42,192.34,196.84,170.0,1.5317286652078765,187.1,84.15
AEFES.IS,1.8104942,16.68693009118541,-3.3183293206322637,24.65045592705167,197.4,224.0,190.0,191.06,142.4,0.6629270780214247,206.0,56.95
SOKM.IS,1.7867936,48.0553420445811,29.09308916503161,32.0522674865488,65.05,123.0,90.5,91.74,70.89,1.1664074650077794,74.2,26.0
VESBE.IS,1.7000148,20.79337401918047,22.39512855209742,25.065387968613773,22.94,34.33,30.55,29.56,23.81,2.4107142857142883,24.44,9.91
CIMSA.IS,1.6372771,16.2492172824045,29.507834915029797,10.551033187226063,31.94,50.5,44.4,45.31,41.94,-0.8074534161490732,51.17143,11.507142
TAVHL.IS,1.6279341,27.90250447227191,16.21388691123019,32.54919499105546,223.6,329.26,277.27,266.87,194.09,1.6363636363636358,229.9,65.85
KCHOL.IS,1.5444862,14.929006085192704,-5.703259005145803,12.65720081135902,246.5,270.0,236.6,233.2,202.0,3.484466834592781,252.0,72.2
YKBNK.IS,1.4902475,46.5473948524796,5.206783695328771,47.11236660389202,31.86,48.44,34.65,33.61,18.6,1.7891373801916854,32.88,8.69
TCELL.IS,1.4833194,23.27316486161252,8.338848444738586,18.844765342960287,83.1,110.0,89.15,90.66,75.0,-0.5385996409335791,85.75,30.58
TTKOM.IS,1.4606701,33.56899073622623,-27.272727272727295,31.52120916626035,41.02,46.0,32.2,32.23,19.3,2.498750624687651,42.36,13.23
AKBNK.IS,1.4029181,41.77391304347825,-1.6080579607704482,77.89565217391305,57.5,80.61,58.5,56.59,11.8,-0.08688097306689402,63.3,13.95
AGHOL.IS,1.2704222,26.488095238095237,-26.31578947368421,26.488095238095237,336.0,355.0,266.0,266.0,177.0,-0.6651884700665134,355.0,89.9
ALARK.IS,1.2266018,29.5730145175064,21.30905181103421,27.35269000853971,117.1,183.44,147.5,148.81,116.78,0.7745266781411297,145.4,53.9
TSKB.IS,1.2041382,38.56143856143858,7.741935483870967,38.46153846153846,10.01,14.71,10.96,10.85,7.0,0.2002002002001957,10.5,3.49
SISE.IS,1.119395,24.541154210028377,19.595314164004265,24.08703878902555,52.85,78.7,65.6,65.73,53.0,0.9551098376313183,57.45,35.3
THYAO.IS,0.93630135,37.199033037872674,17.403226665246795,32.75423045930701,310.25,491.03,392.0,375.62,274.0,-1.429706115965057,332.0,125.6
VESTL.IS,0.9260293,0.0,19.667366381398352,0.0,99.5,123.86,123.86,123.86,123.86,1.323828920570258,107.3,37.58
SAHOL.IS,0.9110124,36.03850050658562,3.894839337877312,46.73758865248227,98.7,138.27,106.0,102.7,56.57,4.004214963119068,99.4,34.12
ALBRK.IS,0.9047281,0.0,30.369357045143637,0.0,5.09,7.31,7.31,7.31,7.31,4.948453608247427,5.19,2.27
PGSUS.IS,0.37809354,103.83333333333331,81.42381030432169,312.83333333333337,204.0,1310.0,1141.0,1098.18,460.0,0.990099009900991,220.55817,82.658165
