symbol,priceToBook,Potantial,Under_Median,How Close targetLowPrice,currentPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,targetLowPrice,change,fiftyTwoWeekHigh,fiftyTwoWeekLow
TTRAK.IS,6.3979673,16.669375317420013,-14.358396543112361,42.409344845099035,984.5,1025.0,950.0,860.89,443.37,1.4425553838227634,1057.5,283.73334
KOZAA.IS,2.3754518,40.169133192389005,28.33333333333334,40.19027484143763,47.3,85.0,66.0,66.0,46.99,-0.42105263157895534,75.65,35.24
TUPRS.IS,1.7620808,27.538126361655774,-3.0592197586303613,50.789760348583876,183.6,228.71,185.5,178.15,84.9,-0.8639308855291516,204.1,63.2
ODAS.IS,1.6690989,,,,9.15,,,,,-1.7185821697099923,14.47,4.84
KORDS.IS,1.4902995,3.526422764227641,10.235358511220578,6.727642276422769,98.4,113.09,112.76,109.62,103.0,1.1305241521069043,116.7,57.4
DOAS.IS,1.4851229,32.25435540069686,8.139423230803702,46.8397212543554,287.0,405.0,323.0,312.43,178.0,-0.43365134431916363,415.5,122.2
GARAN.IS,1.4812864,40.05555555555555,-14.79591836734693,62.66666666666667,90.0,114.45,84.05,78.4,22.0,2.156640181611813,91.15,23.52
ENJSA.IS,1.3175378,46.45461598138091,4.532661827877354,20.961986035686586,64.45,97.45,62.3,67.51,54.0,-0.4633204633204602,68.5,26.42
ISCTR.IS,1.2326279,52.76344878408252,-3.1939163498098853,76.1238025055269,13.57,20.31,13.61,13.15,2.82,-0.22058823529411686,14.08,4.068
VAKBN.IS,1.0607792,60.18609206660136,-7.0791819611956015,29.72575905974535,20.42,31.36,18.6,19.07,13.0,-3.860640301318252,22.38,8.28
ENKAI.IS,0.9840968,16.906077348066308,19.069975408003565,11.54696132596685,36.2,50.85,43.44,44.73,40.55,-2.949061662198371,41.44,23.1
PETKM.IS,0.98027563,31.900910010111218,16.50485436893204,50.0,19.78,30.0,25.31,23.69,13.8,1.22824974411464,26.0,12.34
TKFEN.IS,0.90654796,15.446848541862643,-6.257497001199511,22.70931326434619,53.15,58.23,49.8,50.02,37.95,1.141769743101806,55.4,25.94
ZOREN.IS,0.77213544,0.0,-41.866028708133975,0.0,5.93,4.18,4.18,4.18,4.18,1.0221465076660996,7.57,2.63386
EREGL.IS,0.75180197,29.514187446259665,9.264677199141797,26.35425623387791,46.52,65.0,51.11,51.27,39.01,0.38843331894691246,51.0,30.3
