symbol,priceToBook,Potantial,Under_Median,How Close targetLowPrice,currentPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,targetLowPrice,change,fiftyTwoWeekHigh,fiftyTwoWeekLow
YEOTK.IS,25.34485,,,,196.6,,,,,-0.45569620253165244,286.0,55.0
KONTR.IS,21.867247,,,,211.5,,,,,-2.1286441462285977,351.0,105.8
KONYA.IS,18.81616,,,,9632.5,,,,,2.2015915119363294,12330.0,2371.5
ALFAS.IS,17.989418,,,,88.4,,,,,0.05659309564234327,170.0,35.875
MIATK.IS,14.640652,,,,52.15,,,,,-2.2492970946579205,84.4,6.911538
EGEEN.IS,11.086812,,,,14200.0,,,,,1.3561741613133504,18447.5,4050.0
SMRTG.IS,10.462661,,,,54.5,,,,,-0.9090909090909038,99.2,27.929293
ASTOR.IS,8.513414,,,,104.4,,,,,0.6750241080038633,151.4,43.2
CWENE.IS,7.668248,,,,253.75,,,,,2.359822509076248,421.9,113.8
EUPWR.IS,6.125541,,,,141.5,,,,,0.42583392476933657,258.0,69.75
AKFYE.IS,6.0542884,,,,27.88,,,,,-2.5174825174825277,33.46,9.37
GESAN.IS,5.4157104,,,,73.15,,,,,3.4653465346534684,116.5,47.98
HEKTS.IS,5.1843166,,,,15.47,,,,,0.19430051813471572,34.52,14.5
YYLGD.IS,4.403157,,,,13.39,,,,,0.6766917293232977,25.2,9.486956
EUREN.IS,4.3661556,,,,14.81,,,,,-0.20215633423180668,21.22,14.1
IMASM.IS,3.7593985,,,,16.5,,,,,-0.30211480362538623,23.24,16.2
GUBRF.IS,3.7545905,,,,150.3,,,,,0.8724832214765277,405.0,134.8
SASA.IS,3.7355006,,,,47.34,,,,,5.293594306049831,70.0,33.76
GENIL.IS,3.4668818,,,,55.9,,,,,-1.6710642040457357,84.5,35.94
ISMEN.IS,3.3223777,,,,35.38,,,,,-1.4484679665738076,45.8,10.673666
BRYAT.IS,3.1345406,,,,2805.0,,,,,0.8992805755395628,4690.0,810.0
BRSAN.IS,3.0993438,,,,545.5,,,,,0.09174311926605228,1044.7,141.4
IZMDC.IS,3.0008786,,,,6.83,,,,,-1.0144927536231974,9.64,4.38
IPEKE.IS,2.9393916,,,,37.78,,,,,0.9081196581196771,58.15,22.5
OYAKC.IS,2.7371323,,,,58.55,,,,,0.25684931506848585,88.9,30.4
BIENY.IS,2.589087,,,,40.76,,,,,-1.8777082330284078,75.6,37.02
QUAGR.IS,2.4712992,,,,4.09,,,,,-3.08056872037914,8.713636,3.81
PENTA.IS,2.3883467,,,,17.38,,,,,-0.7424328954883097,34.2,12.59
KARSN.IS,2.2773297,,,,13.27,,,,,1.9984627209838512,15.97,7.68
AHGAZ.IS,2.1944177,,,,13.68,,,,,5.474171164225128,15.44,6.584
ECZYT.IS,1.6583588,,,,258.5,,,,,0.9765625,349.25,113.5
TUKAS.IS,1.5238472,,,,7.7,,,,,-0.5167958656330796,13.87,3.646666
KAYSE.IS,1.5078396,,,,32.12,,,,,0.06230529595014911,56.4,15.01
BUCIM.IS,1.4758009,,,,8.66,,,,,0.0,11.63,5.04
KZBGY.IS,1.4689996,,,,25.02,,,,,0.0,28.58,15.78
BERA.IS,1.3592311,,,,16.97,,,,,-0.5275498241500531,22.76,8.55
ISDMR.IS,1.2746155,,,,37.8,,,,,-0.8914525432616727,44.98,27.36
GLYHO.IS,1.2440145,,,,12.99,,,,,-0.1537279016141424,16.16,6.86
DOHOL.IS,1.2052336,,,,14.37,,,,,-0.8965517241379395,15.28,7.7
ECILC.IS,1.062972,,,,54.05,,,,,1.40712945590995,60.0,24.58
CANTE.IS,0.9794849,,,,17.57,,,,,0.0,33.32,15.86
SKBNK.IS,0.8127503,,,,4.87,,,,,1.882845188284521,7.83,2.13
AKFGY.IS,0.56149065,,,,2.26,,,,,-0.440528634361248,2.88,1.538641
